,Run,SRA,Model,Assay,LibrarySelection,Class,Part.of.microRNAOme.1,CellType,batch.used.in.the.normalization.approaches,group.used.in.the.normalization.approaches,Total_reads,Total.Filtered.reads,Trimmed.Reads..unique.,All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin.miRNAs.Reads,mature.tRNA.Reads,primary.tRNA.Reads,snoRNA.Reads,rRNA.Reads,Other.ncRNA.reads,mRNA.Reads,Remaining.Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR3344669,SRR3344669,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2074963.0,1849370.0,146755.0,1007362.0,1002220.0,448.0,2016.0,144334.0,2134.0,75542.0,351178.0,82928.0,23333.0,160543.0,SRX1685629,PRJNA317629,SRS1380680,SAMN04622535,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344671,SRR3344671,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,3562430.0,3146767.0,250241.0,983570.0,953042.0,431.0,1627.0,153282.0,1803.0,66130.0,497974.0,81856.0,16539.0,1343986.0,SRX1685630,PRJNA317629,SRS1380679,SAMN04622536,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344720,SRR3344720,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1687683.0,1223493.0,104399.0,382743.0,379323.0,363.0,768.0,36770.0,1151.0,84931.0,476992.0,83796.0,20706.0,135636.0,SRX1685654,PRJNA317629,SRS1380764,SAMN04622561,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344674,SRR3344674,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2529743.0,2262406.0,136461.0,1258722.0,1253780.0,490.0,2349.0,252929.0,2352.0,83956.0,378716.0,88259.0,24387.0,170736.0,SRX1685631,PRJNA317629,SRS1380678,SAMN04622537,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344688,SRR3344688,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2065872.0,1867396.0,133687.0,477879.0,466503.0,364.0,896.0,62381.0,884.0,126369.0,330002.0,167423.0,17762.0,683800.0,SRX1685638,PRJNA317629,SRS1380671,SAMN04622544,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344672,SRR3344672,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,3883048.0,3447666.0,230084.0,1089246.0,1059070.0,457.0,1894.0,169936.0,2100.0,75162.0,541194.0,92815.0,20366.0,1454953.0,SRX1685630,PRJNA317629,SRS1380679,SAMN04622536,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344724,SRR3344724,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1126857.0,882537.0,84510.0,312656.0,310573.0,334.0,683.0,46619.0,914.0,58915.0,280488.0,77007.0,14395.0,90860.0,SRX1685656,PRJNA317629,SRS1380762,SAMN04622563,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344686,SRR3344686,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1659289.0,1468681.0,100862.0,523634.0,521681.0,380.0,1349.0,104024.0,1129.0,147730.0,293452.0,242073.0,29657.0,125633.0,SRX1685637,PRJNA317629,SRS1380672,SAMN04622543,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344718,SRR3344718,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2744085.0,2120205.0,162848.0,312711.0,275336.0,308.0,582.0,27258.0,832.0,64316.0,539736.0,84810.0,16232.0,1073728.0,SRX1685653,PRJNA317629,SRS1380765,SAMN04622560,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344693,SRR3344693,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,509499.0,438555.0,41872.0,146206.0,145629.0,268.0,281.0,38177.0,356.0,41410.0,75768.0,81887.0,7097.0,47373.0,SRX1685641,PRJNA317629,SRS1380777,SAMN04622547,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR2529588,SRR2529588,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,4898362.0,4300925.0,278464.0,2689096.0,2680451.0,574.0,1270.0,356347.0,16803.0,72836.0,617588.0,117095.0,33376.0,396514.0,SRX1291968,PRJNA297139,SRS1091391,SAMN04115744,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529564,SRR2529564,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,4846839.0,4355573.0,221482.0,2852145.0,2840530.0,611.0,3689.0,225279.0,6764.0,92714.0,800316.0,99782.0,17994.0,256890.0,SRX1291956,PRJNA297139,SRS1091404,SAMN04115742,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529563,SRR2529563,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,4853114.0,4360457.0,193805.0,2865211.0,2854558.0,616.0,3782.0,228044.0,6884.0,93448.0,809521.0,99710.0,18436.0,235421.0,SRX1291956,PRJNA297139,SRS1091404,SAMN04115742,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529566,SRR2529566,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,2791375.0,2367832.0,136954.0,1667420.0,1661449.0,546.0,1646.0,55505.0,1859.0,101275.0,307554.0,77965.0,17080.0,137528.0,SRX1291957,PRJNA297139,SRS1091402,SAMN04115747,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529578,SRR2529578,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,5848278.0,4849414.0,522857.0,2583728.0,2555452.0,582.0,3600.0,99854.0,10093.0,149551.0,526931.0,186860.0,28758.0,1260039.0,SRX1291963,PRJNA297139,SRS1091396,SAMN04115757,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529543,SRR2529543,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,4319486.0,3663464.0,462901.0,1398582.0,1373717.0,504.0,849.0,337941.0,4719.0,77522.0,522980.0,517027.0,106311.0,697533.0,SRX1291946,PRJNA297139,SRS1091413,SAMN04115753,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529568,SRR2529568,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,2625884.0,2158133.0,132930.0,1323984.0,1318145.0,515.0,1462.0,89290.0,1089.0,70614.0,421351.0,63013.0,14455.0,172875.0,SRX1291958,PRJNA297139,SRS1091401,SAMN04115755,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529567,SRR2529567,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,2625713.0,2157315.0,117937.0,1327903.0,1322434.0,527.0,1441.0,90216.0,1153.0,71208.0,423791.0,63111.0,14591.0,163901.0,SRX1291958,PRJNA297139,SRS1091401,SAMN04115755,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR2529583,SRR2529583,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,6106506.0,5282349.0,218037.0,3812593.0,3803884.0,662.0,1241.0,221702.0,9456.0,169970.0,558259.0,211051.0,34822.0,263255.0,SRX1291966,PRJNA297139,SRS1091393,SAMN04115752,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
